34,NYC,AM,BKLYN,fdny,2/28/2019,2/28/2019 1:22:38 AM,Jamaica Center-bound J trains are delayed while FDNY responds to a track fire at Lorimer St.,bklyn j trains fdny activity,1:22:38,j,person,
19,NYC,AM,MANH,,2/28/2019,2/28/2019 12:06:41 AM,Southbound A and E trains proceeding with delays after we removed an unauthorized person from the tracks at W 4 St-Washington Sq.,updated: manh a and e trains unauthorized person on the tracks,12:06:41,"a, e",,updated
25,NYC,PM,MANH,mechanical problems,2/27/2019,2/27/2019 11:59:51 PM,Jamaica Center-bound J trains are proceeding with delays after we removed a train from service for a mechanical problem at Chambers St.,manh j trains earlier incident - mechanical problem,11:59:51,"j, ",train,
31,NYC,PM,MANH,unauthorized person,2/27/2019,2/27/2019 11:53:45 PM,Southbound A and E trains are delayed because of an unauthorized person on the tracks at W 4 St-Washington Sq.,manh a and e trains unauthorized person on the tracks,11:53:45,"a, e",person,
32,NYC,PM,MANH,investigation,2/27/2019,2/27/2019 9:12:02 PM,Southbound F trains are proceeding with delays following an earlier NYPD investigation at 2 Av.,updated: manh f trains nypd investigation,9:12:02,f,person,
35,NYC,PM,MANH,investigation,2/27/2019,2/27/2019 9:06:24 PM,Southbound F trains are running with delays because of an NYPD investigation at 2 Av.,manh f trains nypd investigation,9:06:24,f,person,
39,NYC,PM,BKLYN,signal problems,2/27/2019,2/27/2019 9:00:16 PM,Southbound D and N train service is proceeding after our crews corrected a signal problem at 36 St (BKLYN). Continue to expect delays as congestion clears.,updated: bklyn d and n trains signal problems,9:00:16,"d, n",train,
42,NYC,PM,BKLYN,signal problems,2/27/2019,2/27/2019 8:45:45 PM,Southbound D and N train service is proceeding after our crews corrected a signal problem at 36 St (BKLYN). Continue to expect delays as congestion clears.,updated: bklyn d and n trains signal problems,8:45:45,"d, n",train,
47,NYC,PM,BKLYN,signal problems,2/27/2019,2/27/2019 8:40:10 PM,Southbound D and N train service is proceeding after our crews corrected a signal problem at 36 St (BKLYN). Continue to expect delays as congestion clears.,updated: bklyn d and n trains signal problems,8:40:10,"d, n",train,
2,NYC,PM,BKLYN,signal problems,2/27/2019,2/27/2019 8:19:18 PM,Southbound D and N trains are running with delays while we repair a signal problem at 36 St (BKLYN).,bklyn d and n signal problems,8:19:18,"d, n",train,
4,NYC,PM,BX,disruptive passenger,2/27/2019,2/27/2019 8:12:16 PM,Southbound 2 and 5 trains are proceeding with delays after NYPD responded to reports of an unruly passenger at E 180 St.,bx 2 and 5 trains unruly customer,8:12:16,"2, 5",person,
21,NYC,PM,BX,disruptive passenger,2/27/2019,2/27/2019 7:44:13 PM,Southbound 2 and 5 trains are running with delays while NYPD responds to reports of an unruly passenger at E 180 St.,bx 2 and 5 trains unruly passenger,7:44:13,"2, 5",person,
24,NYC,PM,BX,fdny,2/27/2019,2/27/2019 7:40:58 PM,Southbound 6 trains have resumed making local stops between Parkchester and Hunts Point Av after FDNY extinguished a track fire at Whitlock Av. Continue to expect delays in 6 train service as congestion clears.,updated: bx 6 trains fdny activity,7:40:58,6,person,
30,NYC,PM,BX,fdny,2/27/2019,2/27/2019 7:32:58 PM,"Southbound 6 trains are running express from Parkchester to Hunts Point Av while FDNY responds to a track fire at Whitlock Av. 

Expect delays in 6 and 6 express train service. 

For service to/from bypassed station, consider using northbound 6 train service.",bx 6 trains fdny activity,7:32:58,6,person,
35,NYC,PM,MANH,,2/27/2019,2/27/2019 7:20:13 PM,7 trains are proceeding with significant delays in both directions after a train's brakes were activated at Times Sq-42 St.,updated: manh 7 trains brakes activated,7:20:13,7,,updated
46,NYC,PM,MANH,brake activation,2/27/2019,2/27/2019 6:57:41 PM,"There are service changes and delays in 7 train service because a train's brakes were activated at Times Sq-42 St. 

There is no 7 train service between 34 St-Hudson Yards and Times Sq-42 St in both directions. 

Some 34 St-bound 7 trains are ending at Hunters Point Av or Times Sq-42 St. 

Expect delays in 7 train service in both directions.",manh 7 trains brakes activated,6:57:41,7,,
15,NYC,PM,MANH,struck by train,2/27/2019,2/27/2019 6:26:06 PM,"B and D trains are proceeding with significant delays after a person was fatally struck by a train at 155 St. 

Please allow for additional travel time.",updated: manh b and d trains person struck by train,6:26:06,"b, d",person,
