6,NYC,PM,BKLYN,brake activation,10/18/2019,10/18/2019 5:58:29 PM,Southbound B and D trains are delayed while we investigate why a train's brakes activated at DeKalb Av.,bklyn b and d trains brakes activated,5:58:29,"B, D",,
48,NYC,AM,BKLYN,brake activation,10/18/2019,10/18/2019 11:29:39 AM,Northbound A trains are delayed because a train's brakes were activated at Euclid Av.,bklyn a train brakes activated,11:29:39,A,,
48,NYC,PM,QNS,brake activation,10/19/2019,10/19/2019 12:14:37 PM,Northbound A trains are delayed because a train's brakes were activated near 80 St.,qns a train brakes activated,12:14:37,A,,
8,NYC,AM,MANH,brake activation,10/19/2019,10/19/2019 6:51:57 AM,Southbound N and R trains are proceeding with delays after a train's brakes were activated in the tunnel between Queens and Manhattan.,manh r train brakes activated,6:51:57,R,,
16,NYC,AM,BKLYN,brake activation,10/19/2019,10/19/2019 4:14:13 AM,Expect longer wait times for northbound D trains after a disruptive passenger pulled the emergency brake cord on a train at Coney Island-Stillwell Av.,bklyn d train brakes activated,4:14:13,D,,
3,NYC,PM,MANH,brake activation,10/20/2019,10/20/2019 6:31:25 PM,Northbound N Q and R trains are delayed while we investigate why a train's brakes were activated at Times Sq-42 St.,manh n q and r trains brakes activated,6:31:25,"N, Q, R",,
3,NYC,AM,BX,brake activation,10/20/2019,10/20/2019 6:23:35 AM,5 trains are delayed in both directions because a train's brakes were activated at Dyre Av.,bx 5 train brakes activated,6:23:35,5,,
28,NYC,PM,BKLYN,brake activation,10/20/2019,10/20/2019 11:52:52 PM,Southbound A trains are delayed while we investigate why a train's brakes were activated at Nostrand Av.,bklyn a train brakes activated,11:52:52,A,,
48,NYC,AM,MANH,brake activation,10/21/2019,10/21/2019 11:31:49 AM,"Southbound 6 trains are are running on the express track from 14 St-Union Sq to Brooklyn Bridge-City Hall while we investigate why a train's brakes were activated at Spring St.

For service to/from bypassed stations, take a northbound 6 train.",manh 6 trains brakes activated,11:31:49,6,,
32,NYC,PM,MANH,brake activation,10/21/2019,10/21/2019 12:17:48 PM,You may experience longer than usual waits for southbound 4 and 5 trains after we moved a train that had its brakes activated at 14 St-Union Sq.,manh 4 and 5 trains train with brakes activated,12:17:48,"4, 5",,
32,NYC,AM,MANH,brake activation,10/21/2019,10/21/2019 1:53:33 AM,148 St-bound 3 trains are running with delays while we investigate why a train's brakes were activated leaving 96 St.,manh 3 trains brakes activated,1:53:33,3,,
34,NYC,PM,BKLYN,brake activation,10/21/2019,10/21/2019 6:38:25 PM,Manhattan-bound J and M trains are holding in stations in Brooklyn while we investigate why a train's brakes were activated on the Williamsburg Bridge.,bklyn j and m trains brakes activated,6:38:25,"J, M",,
48,NYC,AM,BKLYN,brake activation,10/21/2019,10/21/2019 5:03:57 AM,Church Av-bound G trains are proceeding with delays after we moved a train that had its brakes activated at Bedford-Nostrand Avs.,bklyn g trains brakes activated,5:03:57,G,,
37,NYC,PM,BKLYN,brake activation,10/21/2019,10/21/2019 1:46:21 PM,Northbound B trains are running on the local track from Kings Hwy to Prospect Park while we investigate why a train's brakes were activated at Church Av.,bklyn b trains brakes activated,1:46:21,B,,
32,NYC,PM,BKLYN,brake activation,10/21/2019,10/21/2019 6:46:47 PM,2 and 5 trains are delayed in both directions while we investigate why a train's brakes were activated at Flatbush Av-Brooklyn College.,bklyn 2 and 5 trains brakes activated,6:46:47,"2, 5",,
1,NYC,PM,QNS,brake activation,10/21/2019,10/21/2019 1:14:23 PM,Manhattan-bound A trains are delayed while we investigate why a train's brakes were activated at 80 St.,qns a train delays,1:14:23,A,,
10,NYC,PM,MANH,brake activation,10/21/2019,10/21/2019 5:12:25 PM,Expect longer waits for a northbound 6 train in Midtown after someone activated the emergency brake on board a train in the City Hall Loop.,manh 6 trains longer waits,5:12:25,6,,
6,NYC,PM,QNS,brake activation,10/22/2019,10/22/2019 4:13:57 PM,Northbound F trains are delayed while we investigate why a train's brakes were activated at Briarwood.,qns f trains brakes activated,4:13:57,F,,
13,NYC,PM,QNS,brake activation,10/22/2019,10/22/2019 10:43:49 PM,Jamaica Center-bound E and Jamaica-bound F trains are delayed while we investigate why a train's brakes were activated at Parsons Blvd.,qns e and f trains brakes activated,10:43:49,"E, F",,
11,NYC,PM,QNS,brake activation,10/22/2019,10/22/2019 4:03:35 PM,Northbound E and F trains are delayed while we investigate why a train's brakes were activated at Briarwood.,qns e and f trains brakes activated,4:03:35,"E, F",,
17,NYC,PM,MANH,brake activation,10/22/2019,10/22/2019 8:22:23 PM,Southbound F trains are delayed while we investigate why a train's brakes were activated at 2 Av.,manh f trains brakes activated,8:22:23,F,,
18,NYC,PM,MANH,brake activation,10/22/2019,10/22/2019 10:27:15 PM,Bronx-bound 1 trains are delayed while we investigate why a train's brakes were activated at 191 St.,manh 1 trains brakes activated,10:27:15,1,,
15,NYC,AM,SI,brake activation,10/23/2019,10/23/2019 2:11:07 AM,SIR trains are proceeding with delays in both directions after we moved a train that had its brakes activated.,si sir trains brakes activated,2:11:07,,,
41,NYC,AM,MANH,brake activation,10/23/2019,10/23/2019 8:21:44 AM,N train service is delayed in both directions after a train's brakes were activated earlier in Manhattan.,manh n trains brakes activated,8:21:44,N,,
32,NYC,AM,MANH,brake activation,10/23/2019,10/23/2019 5:26:47 AM,Astoria-bound N trains are delayed while we investigate why a train's brakes were activated at Rector St.,manh n trains brakes activated,5:26:47,N,,
